Current Loan Amount,Term,Credit Scores,Years in current job,Home Ownership,Annual Income,Purpose,Monthly Debt,Annual Debt,Debt to Income Ratio,Debt to Income Ratio G/B,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Utilization Rate Good/Bad,Utilization Rate,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Loan Status
6966,Short Term,673,1,Home Mortgage,54736,Home Improvements,839.28,10071.36,0.18,Good DTI,16.4,6,0,Very Bad UR,0.76,2942,3881,0,0,
511,Short Term,747,1,Rent,18389,other,65.43,785.16,0.04,Excellent DTI,12.7,4,0,,,0,0,,0,
701,Short Term,718,1,Rent,19040,Debt Consolidation,196.74,2360.88,0.12,Good DTI,11.6,4,0,,,0,0,0,0,
976,Short Term,718,10,Home Mortgage,59536,other,1215.53,14586.36,0.25,Bad DTI,27.1,14,0,Bad UR,0.54,28791,53218,0,0,
976,Short Term,739,1,Home Mortgage,63414,Other,1939.41,23272.92,0.37,Very Bad DTI,17.4,6,0,Very Bad UR,1,117572,117809,0,0,
977,Short Term,,1,Rent,,Other,657.07,7884.84,,Very Bad DTI,15.8,8,0,Very Bad UR,0.86,27161,31545,0,0,
978,Short Term,718,,Home Mortgage,74313,major_purchase,1226.16,14713.92,0.2,Good DTI,34.8,10,0,Very Bad UR,0.94,16547,17603,0,0,
978,Short Term,680,,Rent,39699,other,840.29,10083.48,0.25,Bad DTI,41.8,6,0,Bad UR,0.58,4263,7401,0,0,
979,Short Term,,3,Home Mortgage,,other,455.78,5469.36,,Very Bad DTI,18.4,14,0,Very Bad UR,0.77,14548,18992,0,0,
979,Short Term,679,10,Home Mortgage,68495,Take a Trip,884.73,10616.76,0.16,Good DTI,19.2,9,0,Very Bad UR,0.83,10745,12914,0,0,
980,Short Term,748,10,Home Mortgage,41954,Home Improvements,819.5,9834,0.23,Bad DTI,16,11,0,Bad UR,0.51,13727,26655,0,0,
980,Short Term,,10,Rent,,other,83.42,1001.04,,Very Bad DTI,11.8,3,0,Bad UR,0.52,3192,6173,0,0,
981,Short Term,741,3,Rent,25906,Debt Consolidation,487.69,5852.28,0.23,Bad DTI,20,4,0,Very Bad UR,0.9,1860,2062,0,0,
983,Short Term,714,5,Home Mortgage,44959,other,338.32,4059.84,0.09,Excellent DTI,11.4,9,0,Very Bad UR,0.89,8182,9245,0,0,
983,Short Term,681,6,Rent,51132,Take a Trip,1274.03,15288.36,0.3,Bad DTI,30.3,17,0,Very Bad UR,0.92,13894,15135,0,0,
983,Short Term,742,10,Home Mortgage,54065,Debt Consolidation,649.68,7796.16,0.14,Good DTI,26.3,12,0,Very Bad UR,0.97,23575,24379,0,0,
984,Short Term,708,,Rent,23611,Take a Trip,129.86,1558.32,0.07,Excellent DTI,32.2,2,1,Very Bad UR,0.94,3902,4133,1,0,
985,Short Term,643,3,Home Mortgage,35474,other,676.97,8123.64,0.23,Bad DTI,16.8,6,0,Excellent UR,0.21,1181,5707,0,0,
988,Short Term,722,2,Own Home,44447,other,966.71,11600.52,0.26,Bad DTI,12.8,10,0,Very Bad UR,0.79,14966,18968,0,0,
988,Short Term,714,,Rent,26679,other,582.48,6989.76,0.26,Bad DTI,20.3,19,0,Excellent UR,0.29,14940,51165,0,0,
989,Short Term,718,10,Rent,66395,Take a Trip,1930.99,23171.88,0.35,Very Bad DTI,13.8,8,0,Very Bad UR,0.91,9420,10386,0,0,
990,Short Term,696,1,Rent,54467,other,1134.72,13616.64,0.25,Bad DTI,19.2,12,0,Very Bad UR,0.79,20432,25863,0,0,
999,Short Term,700,7,Rent,81926,Business Loan,873.88,10486.56,0.13,Good DTI,12.5,5,0,Very Bad UR,0.74,4731,6393,0,0,
999,Short Term,738,3,Home Mortgage,63930,major_purchase,783.14,9397.68,0.15,Good DTI,18.5,9,0,Very Bad UR,0.74,12646,17182,0,0,
999,Short Term,700,7,Rent,81926,Business Loan,873.88,10486.56,0.13,Good DTI,12.5,5,0,Very Bad UR,0.74,4731,6393,0,0,
1000,Short Term,,10,Home Mortgage,,other,654.43,7853.16,,Very Bad DTI,16.4,11,0,Very Bad UR,0.77,19744,25809,0,0,
1000,Short Term,729,,Home Mortgage,81967,Debt Consolidation,1209.02,14508.24,0.18,Good DTI,25.7,23,0,Good UR,0.37,22203,59526,0,0,
1001,Short Term,706,4,Rent,35025,other,107.11,1285.32,0.04,Excellent DTI,10.5,8,0,Bad UR,0.62,1000,1602,0,0,
1003,Short Term,740,1,Rent,32086,Debt Consolidation,70.32,843.84,0.03,Excellent DTI,39,11,0,Excellent UR,0.04,2272,54098,0,0,
1004,Short Term,740,3,Rent,50190,Debt Consolidation,673.38,8080.56,0.16,Good DTI,15.6,7,0,Bad UR,0.68,15516,22885,0,0,
1004,Short Term,,,Home Mortgage,,Home Improvements,617.58,7410.96,,Very Bad DTI,21.7,9,0,Good UR,0.45,2609,5823,0,0,
1004,Short Term,685,7,Rent,91373,Medical Bills,989.87,11878.44,0.13,Good DTI,13,7,0,Very Bad UR,0.83,12193,14761,0,0,
1004,Short Term,,10,Own Home,,Debt Consolidation,721.48,8657.76,,Very Bad DTI,15.9,6,0,Bad UR,0.61,7138,11740,0,0,
1005,Short Term,723,10,Home Mortgage,49221,other,388.84,4666.08,0.09,Excellent DTI,12,6,0,Good UR,0.34,2137,6229,0,0,
1005,Short Term,729,3,Home Mortgage,40694,Home Improvements,447.64,5371.68,0.13,Good DTI,19.2,15,0,Excellent UR,0.21,4522,21532,0,0,
1006,Short Term,685,3,Rent,45266,other,363.26,4359.12,0.1,Excellent DTI,7,5,0,Bad UR,0.54,1078,2012,0,0,
1007,Short Term,,7,Rent,,Take a Trip,830.02,9960.24,,Very Bad DTI,8.4,9,0,Bad UR,0.65,14830,22676,0,0,
1008,Short Term,653,1,Home Mortgage,40300,Debt Consolidation,916.83,11001.96,0.27,Bad DTI,15.9,20,0,Bad UR,0.59,7814,13289,0,0,
1008,Short Term,704,1,Rent,10077,Business Loan,10.08,120.96,0.01,Excellent DTI,12.6,3,0,Excellent UR,0.1,440,4540,0,0,
1008,Short Term,,2,Rent,,Debt Consolidation,667.22,8006.64,,Very Bad DTI,17.6,8,0,,,0,0,0,0,
1009,Short Term,738,10,Home Mortgage,42382,other,629.73,7556.76,0.18,Good DTI,16.4,10,0,Very Bad UR,0.88,20783,23618,0,0,
1009,Short Term,728,10,Rent,35329,Debt Consolidation,762.52,9150.24,0.26,Bad DTI,19,14,0,Bad UR,0.54,18568,34132,0,0,
1010,Short Term,745,1,Home Mortgage,75713,Home Improvements,1242.95,14915.4,0.2,Good DTI,18,9,0,Excellent UR,0.04,769,17889,0,0,
1010,Short Term,720,1,Rent,20206,other,569.13,6829.56,0.34,Very Bad DTI,5.5,7,0,Excellent UR,0.22,1404,6355,0,0,
1011,Short Term,747,10,Home Mortgage,85944,other,520.68,6248.16,0.07,Excellent DTI,25,7,0,Excellent UR,0.21,5753,26759,0,0,
1013,Short Term,,1,Rent,,Debt Consolidation,329.4,3952.8,,Very Bad DTI,11.9,5,0,Excellent UR,0.18,709,4050,0,0,
1014,Short Term,736,2,Home Mortgage,69994,Medical Bills,285.81,3429.72,0.05,Excellent DTI,15.5,11,0,Excellent UR,0.14,1338,9228,0,0,
1015,Short Term,673,2,Home Mortgage,142030,other,2094.94,25139.28,0.18,Good DTI,19.1,10,0,Very Bad UR,0.94,15529,16537,0,0,
1016,Short Term,618,1,Rent,35543,Debt Consolidation,396.89,4762.68,0.13,Good DTI,10.5,7,0,Excellent UR,0.05,1317,26879,0,0,
1016,Short Term,718,2,Rent,7109,Buy a Car,79.97,959.64,0.13,Good DTI,29,3,0,Very Bad UR,0.87,2287,2640,0,0,
